objectid,reporter,RecOwner,SciName,ComName,Nativity,OccStatus,Status,ObsDate,DateEnt,DateUp,Location,Latitude,Longitude,Datum,Method,CoordAcc,DataType,Centroid,Abundance,InfestAcre,GrossAcre,Percentcov,Density,Quantity,QuantityU,APPXQuant,NumCollect,Smallest,Largest,Incidence,Severity,Host,Host_Name,HostPheno,HostDamage,ManageStat,PopStat,Habitat,LocalOwner,Site,RecBasis,Museum,MuseumRec,Voucher,ObsIDer,CollectTme,UUID,OrgSrcID,OrigName,RecSrcTyp,Surveyor,DateAcc,VisitType,DataMthd,TrapType,NumTraps,TargetName,TargetCnt,TargetRnge,Phenology,LifeStatus,Sex,PID,WaterName,WaterType,Substrate,TreatArea,PlantTreat,TreatComm,Reference,Locality,Comments,ReviewDate,Reviewer,VerifyMthd,Verified,IDCred,ReviewComm,CurrentRecord
93966,LeRoy Rodgers South Florida Water Management District,Joint Federal/State/County,Varanus albigularis ionidesi,black-throated monitor,Introduced,Detected,Positive,2007-11-30,2007-12-03,2012-01-04,"""Miami-Dade, Florida, United States""","  25.60798"," -80.51044",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Unknown,,Ag. Field                                         ,,,Human Observation,"""Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       """,UF 152520                                         ,,,,,"7261",,Web Report,,,,,,,,,,,,,,,,,,,,"""LeRoy Rodgers, South Florida Water Management District, personal communication""","""Miami, Nursery E of L-31 along SW 168 St""","""Guy Gilbert (Florida DEP) reportedly caught a 3' black-throated monitor at a plant nursery east of the L-31 Canal along SW 168 Street. Animal was captured and not released. Not certain of current status of animal. """,,,Voucher Photographs,Verified,Verified,,"1"
97627,Skip Snow Everglades National Park,General Public,Python molurus ssp. bivittatus,Burmese python,Introduced,Detected,Positive,2008-05-20,2008-05-23,2011-12-21,"""Miami-Dade, Florida, United States""","  25.28243"," -80.79981",WGS84     ,Reported,,,,,,,,,,,,"1",,,,,,,,,Unknown,,Other                                             ,Everglades                                                                                                                                                                                              ,,Human Observation,"""Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       """,UF 165908                                         ,,,,,"7362",,Web Report,,,,,,,,,,,,,,,,,,,,"""Skip Snow, National Park Service, personal communication""","""Everglades National Park, Paurotis Pond""","""Matt Brien, University of Florida, stopped by Paurotis Pond on the evening of 20 May at 8pm after a survey of croc nesting in the park and witnessed a large alligator (9ft) surface in the middle of the pond with what turned out to be a bloated (and very stinky) python in its mouth, around 9-10ft in length. The gator swam over to the mangroves and began smashing the python around in an attempt to break it into edible portion sizes. Observation only. Nothing recovered. Photos by Matt Brien. """,,,Voucher Photographs,Verified,Verified,,"1"
102877,Andrea Atkinson National Park Service - South Florida Caribbean Network,Federal Agency,Agama picticauda,Peter's rock agama,Introduced,Detected,Positive,2008-06-03,2008-06-04,2012-01-04,"""Miami-Dade, Florida, United States""","  25.67791"," -80.27507",WGS84     ,Reported,,,,,,,,,,,,1+,,,,,,,,,Unknown,,Yard/Garden                                       ,,,Human Observation,"""Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       """,UF 165591                                         ,,,,,"7363",Agama agama africana,Web Report,,,,,,,,,,,,,,,,,,,,"""Andrea Atkinson, National Park Service, personal communication""","""Miami, Fairchild Tropical Botanic Garden. Near Lily pad pond and in nearby areas""",,,,Voucher Photographs,Verified,Verified,,"1"
102879,Skip Snow Everglades National Park,General Public,Tupinambis teguixin,gold tegu,Introduced,Detected,Positive,2008-06-11,2008-06-11,2011-12-21,"""Miami-Dade, Florida, United States""","  25.39616"," -80.58433",WGS84     ,Reported,,,,,,,,,,,,"1",,,,,,,,,Unknown,,Edge: Upland/wetland                              ,Everglades                                                                                                                                                                                              ,,Human Observation,"""Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       """,UF 152989                                         ,,,,,"7222",,Web Report,,,,,,,,,,,,,,,,,,,,"""Skip Snow, National Park Service, personal communication""","""Everglades National Park, Hammock just N of the park visitor's center""","""On 17 April 2008 we had a tegu tail captured on a camera trap deployed as part of the park's mammal survey, located just inside the park near the headquarters building. We put a double door trap, designed for monitors, at the site and baited with cat food. We kept a camera at the site, which is a grassy savanna site with scattered pines. No luck, and after awhile the camera was needed elsewhere. The camera was pulled and two days ago the trap was moved about 20 or so meters to the edge of a hammock and baited with cat food. Thanks to the attention of UF mammal tech Jen Eells, a tegu was captured. The trap will be redeployed at the same hammock for awhile. Lee Fitzgerald identified the species as Tupinambis teguixin, native to northern South America. """,,,Voucher Specimens,Verified,Verified,,"1"
145991,Skip Snow Everglades National Park,General Public,Python molurus ssp. bivittatus,Burmese python,Introduced,Detected,Positive,2008-06-24,2008-06-30,2011-12-21,"""Monroe, Florida, United States""","  25.08408"," -80.45266",WGS84     ,Reported,,,,,,,,,,,,"1",,,,,,,,,Unknown,,Forests: Hardwood                                 ,,,Human Observation,"""Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       """,UF 154823                                         ,,,,,"7361",,Web Report,,,,,,,,,,,,,,,,,,,,"""Skip Snow, National Park Service, personal communication""","""Key Largo, vicinity of Overseas Highway and Francis Drake Dr""","""At about 1:10 pm on Tuesday, 24 June 2008, the Python Hotline received a call from Sue Nulman, 98610 Overseas Highway (Bayside) Key Largo. Ms. Nulman had found a python on her property in a shaded area attempting to eat one of her ""pet"" birds, one of many wild doves (and other wildlife) she feeds. The Nulman property appears to be rather large and wooded. At around 12:30 pm she saw the python, mostly concealed by leaves, with a dove, dead but not swallowed. Nulman stunned the snake with a blow to the head and then severed the spinal cord. I was in the area so stopped to pick up the carcass, and chat. She expressed concern about the remaining wildlife and the dog, and how to secure the house against pythons. Nulman got the Python Hotline number from a flyer she picked up in Big Cypress. I took the carcass back to the lab and performed a necropsy late in the afternoon. Results are as follows: PyMo_901, a male, some rigor in the carcass, 207.5 cm (TL), 181.0 cm (SVL), with a mass of 3.972 kg and a girth of 18.5 cm. Looks to be near mature, perhaps breeding for the first time this coming winter. No external parasites observed. A couple of large round worms were found in the lower gut, which seem to be associated with a large quantity of fecal material (hair observed). Gut contents were collected and frozen. Mike Rochford and I identified two black rats (Rattus rattus) in the remains collected from the lower gut. The stomach was empty, and a very small amount of unidentified material was collected from the esophagus (also frozen). The carcass was retained (frozen) as a specimen for the FLMNH. Photos were taken by me and by Ms. Nulman (she will email her photos). In general, another rather unremarkable young male Burmese python shows up in Paradise. """,,,Voucher Specimens,Verified,Verified,,"1"
145992,LeRoy Rodgers South Florida Water Management District,Joint Federal/State/County,Aspidoscelis motaguae,giant whiptail,Introduced,Detected,Positive,2008-06-30,2008-07-01,2012-01-04,"""Miami-Dade, Florida, United States""","  25.60860"," -80.51234",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Unknown,,Right-of-Way                                      ,,,Human Observation,"""Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       """,UF 157953                                         ,,,,,"7769",,Web Report,,,,,,,,,,,,,,,,,,,,"""LeRoy Rodgers, South Florida Water Management District, personal communication""","""Miami-Dade County, SFWMD levee gate on L-31 right of way at 168th Street (SW gate)""","""Observed by Bob Hill, SFWMD. Single animal. Will attempt to remove on July 1 08. """,,,Voucher Photographs,Verified,Verified,,"1"
413275,Alison Higgins City of Key West,City Government,Ctenosaura similis,black spiny-tailed iguana,Introduced,Detected,Positive,2007-05-15,2008-11-20,2012-01-04,"""Monroe, Florida, United States""","  24.70218"," -81.32998",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Unknown,,Yard/Garden                                       ,                                                                                                                                                                                                        ,,Human Observation,"""Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       """,UF 165578                                         ,,,,,"7612",,Web Report,,,,,,,,,,,,,,,,,,,,"""Alison Higgins, The Nature Conservancy, personal communication""","""No Name Key, Canal behind 2137 Bahia Shores Dr""","""I was in the boat, came out to find it sunning on the solar panels. I snuck up with a towel, captured it and refrigerated/froze it. Was going to eat it, but finally tossed it away. """,,,Voucher Photographs,Verified,Verified,,"1"
414849,Skip Snow Everglades National Park,General Public,Python molurus ssp. bivittatus,Burmese python,Introduced,Detected,Positive,2008-12-01,2008-12-03,2011-12-21,"""Volusia, Florida, United States""","  29.09441"," -81.01820",WGS84     ,Reported,,,,,,,,,,,,"1",,,,,,,,,Unknown,,Forests: Hardwood                                 ,                                                                                                                                                                                                        ,,Human Observation,,,,,,,"7610",,Web Report,,,,,,,,,,,,,,,,,,,,"""Skip Snow, National Park Service, personal communication""","""Spruce Creek, Kendrew Dr appx 130 m N of Boggs Ford Rd""","""Observed on a forested private lot behind a residence which is adjacent to a small tributary of Spruce Creek in Port Orange, Volusia Co. Python first seen 2 or 3 Mondays before Thanksgiving. At that time a chainsaw operator stepped on it while cutting some trees on the property. The sawyer recognized it to be a Burmese python because he used to keep them as pets. No one has seen the snake since. The homeowner believes the snake has been eating her free range cats (many of which have gone missing over the last 2 years). Estimated size of the snake was 10'-12' approx. 6"" across. No photos available. I provided the home owner with the name and phone number of FWC's Jenny Novak Tinell for further advice and assistance. """,,,,Verified,Credible,,"1"
446320,Michael Renda The Nature Conservancy,General Public,Python molurus ssp. bivittatus,Burmese python,Introduced,Detected,Positive,2008-10-15,2010-03-07,2012-01-04,"""Palm Beach, Florida, United States""","  26.93767"," -80.17971",WGS84     ,Reported,,,,,,,,,,,,,,,,,,,,,Unknown,,,                                                                                                                                                                                                        ,,Human Observation,,,,"""David Hitzig, Busch Wildlife Hospital""",,,"7608",,Web Report,,,,,,,,,,,,,,,,,,,,"""Michael Renda, The Nature Conservancy, personal communication""","""Jupiter, Sierra Square 9250 W Indiantown Rd""","""I did not observe this, but spoke to the animal hospital that retrieved the python (David Hitzig, Busch Wildlife Hospital). The animal was found dead at this shopping area, near the road. The animal was 12 ft in length. The date is approximate.. """,,,Specimens,Verified,Verified,,"1"
462627,Judd Patterson National Park Service,General Public,Python,pythons,Introduced,Detected,Positive,2008-12-20,2008-12-21,2011-12-21,"""Miami-Dade, Florida, United States""","  25.41167"," -80.64750",WGS84     ,Reported,,,,,,,,,,,,"1",,,,,,,,,Unknown,,Edge: Roadside                                    ,                                                                                                                                                                                                        ,,Human Observation,,,,"""Judd Patterson""",,,"7768",,Web Report,,,,,,,,,,,,,,,,,,,,"""Judd Patterson, National Park Service, personal communication""","""Everglades National Park, Access road to Long Pine Key campground""","""I saw one 5-6 foot python basking on the grass on the east side of the road that leads to/from the Long Pine Key camp/picnic area. I exited the car for a better view, but the snake quickly moved into the thick palmetto understory. My first view was brief but the checkered/blotched pattern on the large snake made me think either Eastern Diamondback Rattlesnake or python. Just before the snake left the roadside I confirmed the absence of a rattle and an overall smooth/glossy appearance to the scales that was unlike rattlesnakes that I've seen in the park. """,,,,Verified,Credible,,"1"
