scientific_name,status,count,taxon
Afrixalus fornasini,Introduced,1,Amphibia
Agama picticauda,Introduced,8686,Reptilia
Ameiva ameiva,Introduced,1018,Reptilia
Ameiva praesignis,Introduced,94,Reptilia
Anaxyrus fowleri,Introduced,11,Amphibia
Anolis allisoni,Introduced,72,Reptilia
Anolis barbatus,Introduced,1,Reptilia
Anolis chlorocyanus,Introduced,91,Reptilia
Anolis cristatellus,Introduced,4685,Reptilia
Anolis cybotes,Introduced,34,Reptilia
Anolis distichus,Introduced,3674,Reptilia
Anolis equestris,Introduced,3657,Reptilia
Anolis garmani,Introduced,6,Reptilia
Anolis sagrei,Introduced,74473,Reptilia
Aspidoscelis motaguae,Introduced,52,Reptilia
Basiliscus plumifrons,Introduced,4,Reptilia
Basiliscus vittatus,Introduced,3842,Reptilia
Boa constrictor,Introduced,13,Reptilia
Boa imperator,Introduced,3,Reptilia
Bombina orientalis,Introduced,1,Amphibia
Caiman crocodilus,Introduced,13,Reptilia
Calotes,Introduced,1,Reptilia
Centrochelys sulcata,Introduced,31,Reptilia
Chalcides ocellatus,Introduced,1,Reptilia
Chamaeleo calyptratus,Introduced,172,Reptilia
Chelodina longicollis,Introduced,1,Reptilia
Chelonoidis carbonarius,Introduced,36,Reptilia
Chelonoidis denticulatus,Introduced,1,Reptilia
Chrysemys picta,Introduced,5,Reptilia
Cnemidophorus lemniscatus,Introduced,165,Reptilia
Corallus hortulana,Introduced,1,Reptilia
Crocodylus moreletii,Introduced,1,Reptilia
Crocodylus niloticus,Introduced,2,Reptilia
Ctenosaura pectinata,Introduced,8,Reptilia
Ctenosaura similis,Introduced,2519,Reptilia
Dendropsophus marmoratus,Introduced,1,Amphibia
Desmognathus conanti,Introduced,21,Amphibia
Eleutherodactylus coqui,Introduced,2,Amphibia
Eleutherodactylus planirostris,Introduced,4570,Amphibia
Emydura subglobosa,Introduced,17,Reptilia
Epicrates cenchria,Introduced,1,Reptilia
Eretmochelys imbricata,Introduced,60,Reptilia
Eublepharis macularius,Introduced,4,Reptilia
Eurycea cirrigera,Introduced,302,Amphibia
Eurycea guttolineata,Introduced,226,Amphibia
Eutropis multifasciata,Introduced,16,Reptilia
Furcifer oustaleti,Introduced,9,Reptilia
Furcifer pardalis,Introduced,7,Reptilia
Gekko badenii,Introduced,4,Reptilia
Gekko gecko,Introduced,443,Reptilia
Gekko grossmanni,Introduced,5,Reptilia
Gerrhosaurus flavigularis,Introduced,1,Reptilia
Gonatodes albogularis,Introduced,2,Reptilia
Graptemys oculifera,Introduced,1,Reptilia
Graptemys ouachitensis,Introduced,10,Reptilia
Graptemys pseudogeographica,Introduced,67,Reptilia
Hemidactylus frenatus,Introduced,175,Reptilia
Hemidactylus garnotii,Introduced,337,Reptilia
Hemidactylus mabouia,Introduced,8239,Reptilia
Hemidactylus parvimaculatus,Introduced,3,Reptilia
Hemidactylus platyurus,Introduced,146,Reptilia
Hemidactylus turcicus,Introduced,1348,Reptilia
Hypselotriton orientalis,Introduced,2,Amphibia
Iguana iguana,Introduced,15208,Reptilia
Incilius nebulifer,Introduced,19,Amphibia
Indotestudo elongata,Introduced,1,Reptilia
Indotyphlops braminus,Introduced,1306,Reptilia
Kaloula pulchra,Introduced,2,Amphibia
Lacerta viridis,Introduced,1,Reptilia
Lampropeltis polyzona,Introduced,1,Reptilia
Lampropeltis rhombomaculata,Introduced,5,Reptilia
Lampropeltis splendida,Introduced,1,Reptilia
Leiocephalus carinatus,Introduced,11159,Reptilia
Leiocephalus schreibersii,Introduced,17,Reptilia
Leiolepis belliana,Introduced,20,Reptilia
Leiolepis rubritaeniata,Introduced,15,Reptilia
Lepidochelys kempii,Introduced,50,Reptilia
Lepidodactylus lugubris,Introduced,13,Reptilia
Lithobates virgatipes,Introduced,5,Amphibia
Lygodactylus picturatus,Introduced,1,Reptilia
Lygodactylus williamsi,Introduced,1,Reptilia
Manouria emys,Introduced,2,Reptilia
Mauremys sinensis,Introduced,2,Reptilia
Osteopilus septentrionalis,Introduced,19836,Amphibia
Paleosuchus palpebrosus,Introduced,1,Reptilia
Pelusios castaneus,Introduced,1,Reptilia
Phelsuma grandis,Introduced,186,Reptilia
Phelsuma laticauda,Introduced,7,Reptilia
Phrynosoma cornutum,Introduced,2,Reptilia
Pogona vitticeps,Introduced,7,Reptilia
Psammophilus dorsalis,Introduced,1,Reptilia
Pseudotriton ruber,Introduced,104,Amphibia
Python bivittatus,Introduced,433,Reptilia
Python regius,Introduced,6,Reptilia
Python sebae,Introduced,1,Reptilia
Ranoidea caerulea,Introduced,3,Amphibia
Rhinella horribilis,Introduced,4,Amphibia
Rhinella marina,Introduced,3705,Amphibia
Rhinoclemmys funerea,Introduced,1,Reptilia
Rhinoclemmys pulcherrima,Introduced,3,Reptilia
Salvator merianae,Introduced,148,Reptilia
Sphaerodactylus argus,Introduced,4,Reptilia
Sphaerodactylus elegans,Introduced,143,Reptilia
Tarentola annularis,Introduced,21,Reptilia
Terrapene ornata,Introduced,4,Reptilia
Testudo hermanni,Introduced,5,Reptilia
Testudo horsfieldii,Introduced,8,Reptilia
Trachemys venusta,Introduced,16,Reptilia
Trachylepis quinquetaeniata,Introduced,9,Reptilia
Tropidoclonion lineatum,Introduced,1,Reptilia
Tupinambis teguixin,Introduced,1,Reptilia
Typhlonectes natans,Introduced,17,Amphibia
Uta stansburiana,Introduced,1,Reptilia
Varanus exanthematicus,Introduced,7,Reptilia
Varanus niloticus,Introduced,7,Reptilia
Varanus salvator,Introduced,2,Reptilia
Xenopus tropicalis,Introduced,3,Amphibia
Zamenis scalaris,Introduced,1,Reptilia
