Family,Scientific Name,Common Name,Year Introduced,Year Established,Source,First Voucher,Stage,Pathway,In our data?,
SANZINIIDAE,Acrantophis dumerili Jan in Jan & Sordelli 1860,Dumeril’s Madagascan Ground Boa,2014,N/A,Hanslowe et al. 2015,UF 175573,2,Pet Trade,N,Y
ACROCHORDIDAE,Acrochordus javanicus (Hornstedt 1787),Javan File Snake,1970s,1970s,Krysko et al. 2011a,UF 151593–94,3,Pet Trade,Y,
HYPEROLIIDAE,Afrixalus fornasini (Bianconi 1849),Fornasini’s Spiny Reed Frog,2010,N/A,Krysko et al. 2011a,UF 163085,2,Pet Trade,Y,
AGAMIDAE,Agama picticauda Peters 1877,Peters’s Rock Agama,1976,1976,Wilson & Porras 1983; Nuñez 2016,UF 43490,Pet Trade,,Y,
COLUBRIDAE,Ahaetulla nasuta (Lacepède 1789),Common Vine Snake,2011,N/A,This Study,UF 166449,2,Pet Trade,Y,
COLUBRIDAE,Ahaetulla prasina (Boie 1827),Short-nosed Vine Snake,2011,N/A,This Study,UF 166448,2,Pet Trade,N,
TESTUDINIDAE,Aldabrachelys gigantea (Schweigger 1812),Aldabra Giant Tortoise,2012,N/A,This Study,UF 166523,2,Pet Trade,Y,
AMBYSTOMATIDAE,Ambystoma gracile (Baird 1859),Northwestern Salamander,2014,N/A,Rochford et al. 2015,UF 174498,2,Cargo,N,
TEIIDAE,Ameiva ameiva (Linnaeus 1758),Giant Ameiva,1953,1950s,Neill 1957; Duellman & Schwartz 1958,UMMZ 111408,Pet Trade,,Y,
TEIIDAE,Ameiva praesignis (Baird & Girard 1852),Borriguerro Ameiva,1970s,1970s,Wilson & Porras 1983; Ugueto & Harvey 2012,KU 206536,4b,Zoo,Y,
AMPHIUMIDAE,Amphiuma tridactylum Cuvier 1827,Three-toed Amphiuma,2009,N/A,Krysko et al. 2011a,"UF 157220, 157286",2,Pet Trade,N,
DACTYLOIDAE,Anolis allisoni Barbour 1928,Cuban Blue Anole,2014,N/A,Krysko et al. 2015,UF 170513,Pet Trade,,Y,
