species,distribution
Antaresia maculosa,"Australia (New South Wales, E Queensland)

Type locality: “Rockhampton, Port Mackay, Port Bowen” [Queensland]

peninsularis: Australia (Queensland); Type locality: Cooktown, Queensland, Australia (15.47°S; 142.25°E)."
Boa imperator,"Mexico (Yucatan, Quintana Roo, Chiapas, Oaxaca, Sinaloa, Chihuahua [HR 32: 277], Michoacan, Tamaulipas, Zacatecas, San Luis Potosí, Guerrero, Querétaro, Veracruz, Guanajuato), San Andres Island (Colombia), Panama, Nicaragua, Honduras, Belize, Ecuador, Guatemala, El Salvador, Costa Rica, Kolumbien

imperator: Type locality: “l’Amerique meridionale, principalement au Mexique”

sabogae: Gulf of Panama (Islas Perlas, Isla del Rey, Isla San José, and others); Type locality: Saboga Island (Panama)."
Calotes versicolor,"SE Iran, Afghanistan, Pakistan, Nepal, Bhutan,
India (incl. Tamil Nadu, Assam, Gujarat, Maharashtra, Madhya Pradesh, Kerala, Himachal Pradesh, Mizoram, Nagaland, Tripura, Andaman Islands, Jammu and Kashmir, Punjab, Odisha), Sri Lanka (Ceylon), Bangladesh, Burma (= Myanmar), Thailand, W Malaysia (incl. Pulau Pangkor), Vietnam (Binh Thuan, Son La etc.), e.g. Pulo Condore Island, Cambodia,
S China (Fujian, Guangdong, Guangxi, Honkong, Hainan Island), Maldives
Indonesia (Sumatra, Natuna islands), Singapore

Introduced to Celebes, Maldives, Seychelles
Mauritius (Reunion, Rodrigues; fide Glaw, pers. comm. and ROGNER 2006)
Introduced to the Arabian peninsula in Oman (fide VAN DER KOOIJ 2001, Grossmann & Kowalski 2019)
Introduced to Asia in Singapore, Borneo (DAS et al. 2009).
Introduced to Africa in SW (coastal) Kenya (Spawls et al. 2018)
Introduced to USA (Florida, fide SSAR checklist)

Type locality: “India” fide Auffenberg & Rehman 1993; restricted to “Pondicherry” by KUHL (fide Auffenberg & Rehman 1993) but also designated by SMITH 1935. Neotype locality: Pondicherry University Campus, Kalapet, Pondicherry, India."
Chlamydosaurus kingii,"Papua New Guinea, Australia (Northern Territory, Queensland, Western Australia)

Type locality: Australia. Restricted to Port Nelson, NW coast of Australia by Gray, 1826/1827. Also given as Careening Bay, WA."
Corallus hortulana,"S Colombia (east of the Andes), S Venezuela, Guyana, Suriname, French Guiana, Brazil (Amazonas, Roraima, Bahia, Sergipe, Ceará, Rio de Janeiro, Espírito Santo, Minas Gerais, DF, Piauí, Acre, Pará, Pernambuco), Ecuador, Peru, Bolivia (Beni)

Type locality: ""America"" [LINNAEUS 1758: 215], restricted to “cis-Andean South America” by Gonzalez et al. 2021."
Crocodylus moreletii,"Belize, Guatamala, Mexico (Hidalgo, Tamaulipas, San Luis Potosí, Oaxaca, Chiapas, Tabasco, Campeche, Yucatan, Quintana Roo, Veracruz)

Type locality: ""Lac Flores (Yucatan),"" Guatemala; restricted by Smith and Taylor (1950: 211), and Smith and Taylor (1950: 318) to ""Guatemala, El Peten, Laguna de Peten""."
Emydura subglobosa,"S Papua New Guinea,
Australia (Jardine River at the northern tip of the Cape York Penisula, Queensland)

subglobosa: New Guinea, Australia (Queensland: tip of Cape York)

worrelli: NW Australia, maybe New Guinea

Type locality: Naiabui, on Amama River, SE Papua New Guinea.

angkibaanya: Australia (N Queensland); 'Old River Crossing' , Jardine River, Cape York Peninsula, Queensland, Australia, 11°08'S, 142°21'E (fide Shaffer et al., 2009)"
Epicrates crassus,"Paraguay, Bolivia (Beni, Andean slopes), Argentina (grasslands), Brazil (Cerrado in Rondonia, Pará, Mato Grosso, Tocantins, Goiás, Minas Gerais, São Paulo, grassland of Mato Grosso do Sul, Rio Grande do Sul, Bahia)

Type locality: Cadosa, Paraná River, Paraguay. Corrected to Gardosa, Rio Paraná, Paraguay, by Williams and Francini (1991)."
Eryx colubrinus,"Egypt, Sudan (Jumhūriyyat), Republic of South Sudan (RSS), Ethiopia, Eritrea, Kenya, Chad ?, Niger ?, Tanzania, Somalia

Middle East: Yemen ?

loveridgei: Arid areas of Kenya and NE Tanzania at Kahe and Msembe near Ruaha National Park. Type locality: Mbunyuni, Kenya

Type locality: “Aegypto”"
Gerrhosaurus flavigularis,"Malawi, Mozambique, N Zambia, Republic of South Africa (Eastern Cape etc.), Eswatini (Swaziland), O-Sudan (Jumhūriyyat), Republic of South Sudan (RSS), Kenya, Tanzania, Zimbabwe, Ethiopia, Kenya, Somalia, Republic of South Sudan (RSS), Botswana, Namibia

fitzsimonsi: Somalia

Type locality: “Africa merid. Krebs” = South Africa."
Graptemys oculifera,"USA (Mississippi, Louisiana: Pearl River system)

Type locality: “Mandeville, La.,” restricted to “the Pearl River, 26 miles east of Mandeville, St. Tammany Parish, Louisiana” by Cagle (1953b:138)."
