Genus,Species,Common Name,FL Native
Acris,crepitans crepitans,Eastern Cricket Frog,Yes
Acris,gryllus dorsalis,Florida Cricket Frog,Yes
Acris,gryllus gryllus,Coastal Plain Cricket Frog,Yes
Anaxyrus,fowleri,Fowler's Toad,Yes
Anaxyrus,quercicus,Oak Toad,Yes
Anaxyrus,terrestris,Southern Toad,Yes
Eleutherodactylus,planirostris,Greenhouse Frog,No
Gastrophryne,carolinensis,Eastern Narrowmouth Toad,Yes
Hyla,andersonii,Pine Barrens Treefrog,Yes
Hyla,avivoca,Bird-voiced Treefrog,Yes
Hyla,chrysocelis,Cope's Gray Treefrog,Yes
Hyla,cinerea,Green Treefrog,Yes
Hyla,femoralis,Pine Woods Treefrog,Yes
Hyla,gratiosa,Barking Treefrog,Yes
Hyla,squirella,Squirrel Treefrog,Yes
Osteopilus,septentrionalis,Cuban Treefrog,No
Pseudacris,crucifer,Spring Peeper,Yes
Pseudacris,feriarum,Upland Chorus Frog,Yes
Pseudacris,nigrita,Southern Chorus Frog,Yes
Pseudacris,ocularis,Little Grass Frog,Yes
Pseudacris,ornata,Ornate Chorus Frog,Yes
Rana,capito,Gopher Frog,Yes
Rana,catesbeianus,Bullfrog,Yes
Rana,clamitans clamitans,Bronze Frog,Yes
Rana,grylio,Pig Frog,Yes
Rana,heckscheri,River Frog,Yes
Rana,okaloosae,Florida Bog Frog,Yes
Rana,sphenocephalus,Southern Leopard Frog,Yes
Rana,virgatipes,Carpenter Frog,Yes
Rhinella,marina,Cane Toad,No
Scaphiopus,holbrookii,Eastern Spadefoot,Yes
Alligator,mississippiensis,American Alligator,Yes
Caiman,crocodilus,Spectacled Caiman,No
Crocodylus,acutus,American Crocodile,Yes
Agama,agama,African Rainbow Lizard,No
Ameiva,ameiva,Giant Ameiva,No
Ameiva,praesignis,Borriguerro Ameiva,No
Anolis,carolinensis,Green Anole,Yes
Anolis,chlorocyanus,Hispaniolan Green Anole,No
Anolis,cristatellus,Puerto Rican Crested Anole,No
Anolis,cybotes,Large-headed Anole,No
Anolis,distichus,Bark Anole,No
Anolis,equestris,Knight Anole,No
Anolis,garmani,Jamaican Giant Anole,No
Anolis,porcatus,Cuban Green Anole,No
Anolis,sagrei,Cuban Brown Anole,No
Anolis,trinitatis,Saint Vincent's Bush Anole,No
Aspidoscelis,motaguae,Giant Whiptail,No
Aspidoscelis,sexlineata,Six-lined Racerunner,Yes
