species_native,native_status,source,URL
Acris crepitans,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Acris gryllus,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Agkistrodon conanti,Yes,The Reptile Database,http://www.reptile-database.org/
Agkistrodon contortrix,Yes,The Reptile Database,http://www.reptile-database.org/
Agkistrodon piscivorus,Yes,The Reptile Database,http://www.reptile-database.org/
Alligator mississippiensis,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Ambystoma cingulatum,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Ambystoma opacum,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Ambystoma talpoideum,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Ambystoma tigrinum,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Amphiuma means,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Amphiuma pholeter,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Anaxyrus quercicus,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Anaxyrus terrestris,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Anolis carolinensis,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Apalone ferox,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Apalone spinifera,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Aspidoscelis sexlineatus,Yes,The Reptile Database,http://www.reptile-database.org/
Caretta caretta,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Cemophora coccinea,Yes,The Reptile Database,http://www.reptile-database.org/
Chelonia mydas,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Chelydra serpentina,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Clemmys guttata,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Coluber constrictor,Yes,The Reptile Database,http://www.reptile-database.org/
Crocodylus acutus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Crotalus adamanteus,Yes,The Reptile Database,http://www.reptile-database.org/
Crotalus horridus,Yes,The Reptile Database,http://www.reptile-database.org/
Deirochelys reticularia,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Dermochelys coriacea,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Desmognathus apalachicolae,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Desmognathus auriculatus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Diadophis punctatus,Yes,The Reptile Database,http://www.reptile-database.org/
Drymarchon couperi,Yes,The Reptile Database,http://www.reptile-database.org/
Dryophytes andersonii,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Dryophytes avivoca,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Dryophytes chrysoscelis,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Dryophytes cinereus,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Dryophytes gratiosus,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Dryophytes squirellus,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Eurycea hillisi,Yes,Florida Natural Areas Inventory,https://www.fnai.org/PDFs/FieldGuides/Eurycea_hillisi.pdf
Eurycea quadridigitata,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Eurycea sphagnicola,Yes,Florida Natural Areas Inventory,https://www.fnai.org/PDFs/FieldGuides/Eurycea_sphagnicola.pdf
Eurycea wallacei,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Farancia abacura,Yes,The Reptile Database,http://www.reptile-database.org/
Farancia erytrogramma,Yes,The Reptile Database,http://www.reptile-database.org/
Gastrophryne carolinensis,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Gopherus polyphemus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Graptemys barbouri,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Graptemys ernsti,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Haldea striatula,Yes,The Reptile Database,http://www.reptile-database.org/
Hemidactylium scutatum,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Heterodon platirhinos,Yes,The Reptile Database,http://www.reptile-database.org/
Heterodon simus,Yes,The Reptile Database,http://www.reptile-database.org/
Hyla femoralis,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Kinosternon baurii,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Kinosternon steindachneri,Yes,The Reptile Database,http://www.reptile-database.org/
Kinosternon subrubrum,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Lampropeltis elapsoides,Yes,The Reptile Database,http://www.reptile-database.org/
Lampropeltis extenuata,Yes,The Reptile Database,http://www.reptile-database.org/
Lampropeltis getula,Yes,The Reptile Database,http://www.reptile-database.org/
Lampropeltis occipitolineata,Yes,The Reptile Database,http://www.reptile-database.org/
Liodytes alleni,Yes,The Reptile Database,http://www.reptile-database.org/
Liodytes pygaea,Yes,The Reptile Database,http://www.reptile-database.org/
Liodytes rigida,Yes,The Reptile Database,http://www.reptile-database.org/
Lithobates capito,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Lithobates catesbeianus,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Lithobates clamitans,Yes,"U.S. Geological Survey, Nonindigenous Aquatic Species Database",https://nas.er.usgs.gov/queries/default.aspx
Lithobates grylio,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Lithobates heckscheri,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Lithobates okaloosae,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Lithobates sphenocephalus,Yes,UF Florida Wildlife Extension,https://wec.ifas.ufl.edu/extension/wildlife_info/frogstoads/
Macrochelys suwanniensis,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Macrochelys temminckii,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Malaclemys terrapin,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Masticophis flagellum,Yes,The Reptile Database,http://www.reptile-database.org/
Micrurus fulvius,Yes,The Reptile Database,http://www.reptile-database.org/
Necturus moleri,Yes,AmphiaWeb,https://amphibiaweb.org/
Necturus mounti,Yes,AmphiaWeb,https://amphibiaweb.org/
Nerodia clarkii,Yes,The Reptile Database,http://www.reptile-database.org/
Nerodia erythrogaster,Yes,The Reptile Database,http://www.reptile-database.org/
Nerodia fasciata,Yes,The Reptile Database,http://www.reptile-database.org/
Nerodia floridana,Yes,The Reptile Database,http://www.reptile-database.org/
Nerodia sipedon,Yes,The Reptile Database,http://www.reptile-database.org/
Nerodia taxispilota,Yes,The Reptile Database,http://www.reptile-database.org/
Notophthalmus perstriatus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Notophthalmus viridescens,Yes,"U.S. Geological Survey, Nonindigenous Aquatic Species Database",https://nas.er.usgs.gov/queries/default.aspx
Opheodrys aestivus,Yes,The Reptile Database,http://www.reptile-database.org/
Ophisaurus attenuatus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Ophisaurus compressus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Ophisaurus mimicus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Ophisaurus ventralis,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Pantherophis alleghaniensis,Yes,The Reptile Database,http://www.reptile-database.org/
Pantherophis guttatus,Yes,The Reptile Database,http://www.reptile-database.org/
Pantherophis spiloides,Yes,The Reptile Database,http://www.reptile-database.org/
Pituophis melanoleucus,Yes,The Reptile Database,http://www.reptile-database.org/
Plestiodon anthracinus,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
Plestiodon egregius,Yes,Florida Natural History Museum,https://www.floridamuseum.ufl.edu/discover-herps/florida-amphibians-reptiles/
