species,distribution
Tropidoclonion lineatum,"C USA (incl. Illinois, Kansas, Oklahoma, Nebraska, Texas, New Mexico, Colorado)

annectens: NE Texas, Oklahoma, Arkansas; Type locality: Tulsa, Oklahoma.

iowae: USA (Iowa); Type locality: USA: Des Moines, Polk County, Iowa; 1888.

lineatum: NW Texas, W Oklahoma; Type locality: Kansas. Restricted to vicinity of Kansas City, Kansas, USA fide K.P. Schmidt (1953: 176) and to the vicinity of Fort Leavenworth, Kansas, USA fide L.W. Ramsay (1953: 9).

mertensi: USA (New Mexico); Type locality: Watrous, San Miguel County, New Mexico.

texanum: Texas, Oklahoma; Type locality: F.W. Allen ranch  13 miles south of Bertram, Burnet Co."
Terrapene triunguis,"USA (Alabama, Arkansas, Illinois, Kansas, Louisiana, Mississippi, Missouri, Oklahoma, Texas)

Type locality: “Louisiana and Mississippi . . . New Orleans . . . Osage River . . . and from Georgia.” Restricted to “New Orleans, Louisiana,” by Schmidt (1953: 94)."
Anolis barbatus,"Cuba (Sierra del Rosario)

Type locality: Limestone uplands at Ojo de Agua, Cinco Pesos, about 9 km NW San Cristóbal, Pinar del Rio Province, Cuba."
Gehyra mutilata,"Madagascar, Mascarene Islands (Mauritius, Reunion, Rodrigues), Seychelles, Nossi Be = Nosy Bé,

Asia: Sri Lanka, India (incl. Andaman Islands, Nicobar Islands, Kerala), Thailand,  Vietnam, Malaysia  (incl. Pulau Tioman, Pulau Pangkor, Johor: Pulau Besar, Tuba Island), Cambodia, Laos,
S China (Yunnan, Hainan, Hong Kong), Taiwan,
Japan (Okinawa), Oceania, Philippines (Palawan, Calamian Islands, Panay, Luzon, Mindoro, Bohol, Masbate, Cebu, Camiguin Sur, Misamis Oriental), Singapore, Palau, New Guinea, Indonesia (Sumatra, Java, Borneo, Sulawesi, Timor, Halmahera, Komodo, Flores, Bali, Morotai, Natuna islands), Timor-Leste,

Oceania: Western Samoa, Fiji Islands, Tonga Islands, Toga Island, Cocos Islands, Micronesia (e.g. Mortlock Islands, Chuuk), Christmas Islands, Guam, Solomon Islands [McCoy 2000],

Australia (Cook Island, CKI), Nauru, Vanuatu

Mexico (introduced to Chiapas, San Luis Potosí, Jalisco [HR 32: 57], Nayarit, Colima, Sinaloa, Veracruz)
USA (introduced to Hawaii, S California)

French Guiana (Ineich & Mssary 1997)

Type locality: Manila (Philippines)

butleri: W Malaysia (Selangor); Type locality: Kuala Lumpur, Malaysia.

Type locality:"
Sternotherus carinatus,"USA (Gulf Coastal Plain of (Alabama, SE Oklahoma, C/S Arkansas, Mississippi, E Texas, Louisiana)

Type locality: ""Louisiana""; restricted to ""vicinity of New Orleans,"" Louisiana, U.S.A., by Schmidt (1953:87)."
Rhinoclemmys funerea,"S Honduras (Caribbean drainages from the Rio Coco southward),
Nicaragua, Panama (north of the Canal Zone), Costa Rica

Type locality: ""Limón"" (=Puerto Limón), Costa Rica."
Heterodon nasicus,"Canada (Manitoba, Alberta, Saskatchewan),
USA (Montana, North Dakota, South Dakota, Nebraska, E Wyoming, Illinois, Iowa, E Colorado, New Mexico, Kansas, Oklahoma, Texas, W Minnesota, New Mexico)

Type locality: “Texas”; Restricted to Rio Grande, approx. 19 air miles (30.6 km) downstream from Eagle Pass, Maverick County, Texas, by WEBB & ECKERMAN (1998).

gloydi: USA (Texas, Oklahoma); Type locality: ""Wheelock, Robertson County, Texas."""
Lampropeltis splendida,"USA (C Texas to SE Arizona; isolated records from N New Mexico and S Colorado), NC Mexico (incl. San Luis Potosi, Durango, Tamaulipas, Chihuahua, Nuevo León, Coahuila); .

Type Locality: Sonora, Mexico (no further locality given)."
Lampropeltis californiae,"USA (California, S. Oregon, W/S Nevada, S Utah, Arizona
Mexico (Baja California, Sonora)

Introduced to Gran Canaria (Hilger & Kwet 2015, López-González et al. 2025)

Type Locality: ‘California’ (Blainville 1835). Restricted to Fresno, California by Schmidt (1953).

conjuncta: Cape San Lucas."
Spilotes pullatus,"S Mexico (Chiapas, Oaxaca, Tamaulipas, Quéretaro, Campeche , Yucatan, Quintana Roo etc.), Belize, Guatemala, El Salvador, Honduras, Nicaragua, Costa Rica, Panama, Trinidad, Tobago, Isla Margarita,
Colombia (incl. Valle del Cauca), Venezuela (Merida [HR 31: 57]), Brazil (Rio Grande do Sul, Goias, Pará, Sergipe, S Ceará, Piauí, Minas Gerais, Rio de Janeiro, Espírito Santo, Pernambuco, Paraíba), Ecuador, Peru, Argentina (Misiones, Chaco, Formosa, Salta), Bolivia (Beni), Guyana, Suriname, French Guiana, Paraguay (fide Paul Smith, pers. comm., 27 Apr 2014)

anomalepis: Brazil (Roraima, Bahia, Rio Grande de Sul)

argusiformis: Honduras

auribundus: Mexico (Veracruz); Type locality: Mirador, Veracruz, Mexico.

mexicanus: Mexico (San Luis Potosí, Veracruz, Tamaulipas, Hidalgo [HR 32: 280])

Type locality: “Asia” (fide LINNAEUS 1758; in error)

Type locality: Espírito Santo, Brazil (= Araçatiba, Viana, -40,4892 -20,4622, fide A. Schmidt, pers. comm. 22 Aug 2017) [Coluber variabilis]"
