Species,iNaturalist_Present,EDDMapS_Present
Agama picticauda,Yes,Yes
Ameiva ameiva,Yes,Yes
Ameiva praesignis,Yes,Yes
Anolis allisoni,Yes,Yes
Anolis cristatellus,Yes,Yes
Anolis distichus,Yes,Yes
Anolis equestris,Yes,Yes
Anolis sagrei,Yes,Yes
Aspidoscelis motaguae,Yes,Yes
Basiliscus plumifrons,Yes,Yes
Basiliscus vittatus,Yes,Yes
Boa constrictor,Yes,Yes
Bombina orientalis,Yes,Yes
Caiman crocodilus,Yes,Yes
Centrochelys sulcata,Yes,Yes
Chalcides ocellatus,Yes,Yes
Chamaeleo calyptratus,Yes,Yes
Chelonoidis carbonarius,Yes,Yes
Chelonoidis denticulatus,Yes,Yes
Cnemidophorus lemniscatus,Yes,Yes
Corallus hortulana,Yes,Yes
Crocodylus moreletii,Yes,Yes
Crocodylus niloticus,Yes,Yes
Ctenosaura pectinata,Yes,Yes
Ctenosaura similis,Yes,Yes
Eleutherodactylus coqui,Yes,Yes
Eleutherodactylus planirostris,Yes,Yes
Epicrates cenchria,Yes,Yes
Eublepharis macularius,Yes,Yes
Furcifer oustaleti,Yes,Yes
Furcifer pardalis,Yes,Yes
Gekko badenii,Yes,Yes
Gekko gecko,Yes,Yes
Gekko grossmanni,Yes,Yes
Hemidactylus frenatus,Yes,Yes
Hemidactylus garnotii,Yes,Yes
Hemidactylus mabouia,Yes,Yes
Hemidactylus platyurus,Yes,Yes
Hemidactylus turcicus,Yes,Yes
Iguana iguana,Yes,Yes
Indotyphlops braminus,Yes,Yes
Leiocephalus carinatus,Yes,Yes
Leiocephalus schreibersii,Yes,Yes
Leiolepis belliana,Yes,Yes
Leiolepis rubritaeniata,Yes,Yes
Lepidodactylus lugubris,Yes,Yes
Lygodactylus picturatus,Yes,Yes
Manouria emys,Yes,Yes
Mauremys sinensis,Yes,Yes
Osteopilus septentrionalis,Yes,Yes
Phelsuma grandis,Yes,Yes
Phelsuma laticauda,Yes,Yes
Pogona vitticeps,Yes,Yes
Python bivittatus,Yes,Yes
Python regius,Yes,Yes
Ranoidea caerulea,Yes,Yes
Rhinella horribilis,Yes,Yes
Rhinella marina,Yes,Yes
Rhinoclemmys pulcherrima,Yes,Yes
Salvator merianae,Yes,Yes
Sphaerodactylus elegans,Yes,Yes
Tarentola annularis,Yes,Yes
Testudo hermanni,Yes,Yes
Testudo horsfieldii,Yes,Yes
Trachemys venusta,Yes,Yes
Trachylepis quinquetaeniata,Yes,Yes
Typhlonectes natans,Yes,Yes
Varanus exanthematicus,Yes,Yes
Varanus niloticus,Yes,Yes
Varanus salvator,Yes,Yes
Acrochordus javanicus,No,Yes
Afrixalus fornasini,No,Yes
Ahaetulla nasuta,No,Yes
Aldabrachelys gigantea,No,Yes
Anolis porcatus,No,Yes
Antaresia maculosa,No,Yes
Boa dumerili,No,Yes
Borikenophis portoricensis,No,Yes
Calabaria reinhardtii,No,Yes
Calotes versicolor,No,Yes
Chilabothrus inornatus,No,Yes
Chilabothrus strigilatus,No,Yes
Chlamydosaurus kingii,No,Yes
Chondrodactylus bibronii,No,Yes
Chondrodactylus turneri,No,Yes
Chrysopelea ornata,No,Yes
Cyclura cornuta,No,Yes
Dendrelaphis pictus,No,Yes
Dracaena guianensis,No,Yes
Duttaphrynus melanostictus,No,Yes
Epicrates crassus,No,Yes
Erpeton tentaculatum,No,Yes
Eryx colubrinus,No,Yes
Eunectes murinus,No,Yes
Eunectes notaeus,No,Yes
Furcifer lateralis,No,Yes
Gekko vittatus,No,Yes
Geochelone pardalis,No,Yes
Gongylophis colubrinus,No,Yes
Gonocephalus grandis,No,Yes
Hemitheconyx caudicinctus,No,Yes
Hyla savignyi,No,Yes
Hypselotriton orientalis,No,Yes
Kinixys homeana,No,Yes
Langaha madagascariensis,No,Yes
Laudakia stellio,No,Yes
Morelia spilota,No,Yes
Orthriophis taeniurus,No,Yes
Pachytriton labiatus,No,Yes
Pelusios castaneus,No,Yes
Pelusios sinuatus,No,Yes
Physignathus cocincinus,No,Yes
Ptychozoon kuhli,No,Yes
Python breitensteini,No,Yes
Python curtus,No,Yes
Python reticulatus,No,Yes
Python sebae,No,Yes
Salvator rufescens,No,Yes
Staurotypus salvinii,No,Yes
Tarentola mauritanica,No,Yes
Tiliqua scincoides,No,Yes
Trachemys script,No,Yes
Tropidurus hispidus,No,Yes
Tupinambis teguixin,No,Yes
Varanus albigularis,No,Yes
Varanus doreanus,No,Yes
Varanus indicus,No,Yes
Varanus jobiensis,No,Yes
Varanus ornatus,No,Yes
Varanus panoptes,No,Yes
Varanus rudicollis,No,Yes
Varanus salvadorii,No,Yes
Xenopus laevis,No,Yes
Anolis chlorocyanus,Yes,No
Anolis cybotes,Yes,No
Anolis garmani,Yes,No
Boa imperator,Yes,No
Chrysemys picta,Yes,No
Emydura subglobosa,Yes,No
Eutropis multifasciata,Yes,No
Gerrhosaurus flavigularis,Yes,No
Graptemys oculifera,Yes,No
Graptemys ouachitensis,Yes,No
Graptemys pseudogeographica,Yes,No
Hemidactylus parvimaculatus,Yes,No
Indotestudo elongata,Yes,No
Lacerta viridis,Yes,No
Phrynosoma cornutum,Yes,No
Terrapene ornata,Yes,No
Uta stansburiana,Yes,No
Zamenis scalaris,Yes,No
