Species,iNaturalist,EDDMapS
Agama picticauda,Yes,Yes
Aldabrachelys gigantea,No,Yes
Ameiva ameiva,Yes,Yes
Ameiva praesignis,Yes,Yes
Anolis allisoni,Yes,Yes
Anolis chlorocyanus,Yes,No
Anolis cristatellus,Yes,Yes
Anolis cybotes,Yes,No
Anolis distichus,Yes,Yes
Anolis equestris,Yes,Yes
Anolis garmani,Yes,No
Anolis porcatus,No,Yes
Anolis sagrei,Yes,Yes
Antaresia maculosa,No,Yes
Aspidoscelis motaguae,Yes,Yes
Basiliscus plumifrons,Yes,Yes
Basiliscus vittatus,Yes,Yes
Boa constrictor,Yes,Yes
Boa dumerili,No,Yes
Boa imperator,Yes,No
Borikenophis portoricensis,No,Yes
Caiman crocodilus,Yes,Yes
Calabaria reinhardtii,No,Yes
Calotes versicolor,No,Yes
Centrochelys sulcata,Yes,Yes
Chalcides ocellatus,Yes,Yes
Chamaeleo calyptratus,Yes,Yes
Chelonoidis carbonarius,Yes,Yes
Chelonoidis denticulatus,Yes,Yes
Chilabothrus inornatus,No,Yes
Chilabothrus strigilatus,No,Yes
Chlamydosaurus kingii,No,Yes
Chondrodactylus bibronii,No,Yes
Chrysemys picta,Yes,No
Cnemidophorus lemniscatus,Yes,Yes
Corallus hortulana,Yes,Yes
Crocodylus moreletii,No,Yes
Ctenosaura pectinata,Yes,Yes
Ctenosaura similis,Yes,Yes
Cyclura cornuta,No,Yes
Eleutherodactylus coqui,Yes,Yes
Eleutherodactylus planirostris,Yes,Yes
Emydura subglobosa,Yes,No
Epicrates cenchria,No,Yes
Epicrates crassus,No,Yes
Eryx colubrinus,No,Yes
Eublepharis macularius,No,Yes
Eunectes murinus,No,Yes
Eunectes notaeus,No,Yes
Eutropis multifasciata,Yes,No
Furcifer oustaleti,No,Yes
Furcifer pardalis,Yes,Yes
Gekko badenii,Yes,No
Gekko gecko,Yes,Yes
Gekko grossmanni,Yes,No
Gekko vittatus,No,Yes
Geochelone pardalis,No,Yes
Gerrhosaurus flavigularis,Yes,No
Gongylophis colubrinus,No,Yes
Graptemys oculifera,Yes,No
Graptemys ouachitensis,Yes,No
Graptemys pseudogeographica,Yes,No
Hemidactylus frenatus,Yes,Yes
Hemidactylus garnotii,Yes,Yes
Hemidactylus mabouia,Yes,Yes
Hemidactylus parvimaculatus,Yes,No
Hemidactylus platyurus,Yes,Yes
Hemidactylus turcicus,Yes,Yes
Hemitheconyx caudicinctus,No,Yes
Iguana iguana,Yes,Yes
Indotestudo elongata,Yes,No
Indotyphlops braminus,Yes,Yes
Kaloula pulchra,Yes,No
Lacerta viridis,Yes,No
Lampropeltis splendida,Yes,No
Langaha madagascariensis,No,Yes
Laudakia stellio,No,Yes
Leiocephalus carinatus,Yes,Yes
Leiocephalus schreibersii,Yes,Yes
Leiolepis belliana,Yes,Yes
Leiolepis rubritaeniata,Yes,Yes
Lepidodactylus lugubris,Yes,No
Manouria emys,No,Yes
Mauremys sinensis,Yes,Yes
Morelia spilota,No,Yes
Norops garmani,No,Yes
Osteopilus septentrionalis,Yes,Yes
Pelusios castaneus,No,Yes
Phelsuma grandis,Yes,Yes
Phrynosoma cornutum,Yes,No
Physignathus cocincinus,No,Yes
Pogona vitticeps,Yes,Yes
Python bivittatus,Yes,Yes
Python breitensteini,No,Yes
Python curtus,No,Yes
Python regius,Yes,Yes
Python reticulatus,No,Yes
Python sebae,No,Yes
Ranoidea caerulea,Yes,No
Rhinella horribilis,Yes,Yes
Rhinella marina,Yes,Yes
Rhinoclemmys funerea,Yes,No
Rhinoclemmys pulcherrima,Yes,No
Salvator merianae,Yes,Yes
Salvator rufescens,No,Yes
Sphaerodactylus elegans,Yes,No
Sternotherus carinatus,Yes,No
Tarentola annularis,Yes,Yes
Terrapene ornata,Yes,No
Testudo hermanni,Yes,Yes
Testudo horsfieldii,Yes,Yes
Tiliqua scincoides,No,Yes
Trachemys scripta,No,Yes
Trachemys venusta,Yes,Yes
Trachylepis quinquetaeniata,Yes,No
Tropidurus hispidus,No,Yes
Tupinambis teguixin,No,Yes
Typhlonectes natans,Yes,Yes
Uta stansburiana,Yes,No
Varanus albigularis,No,Yes
Varanus exanthematicus,No,Yes
Varanus indicus,No,Yes
Varanus niloticus,Yes,Yes
Varanus ornatus,No,Yes
Varanus panoptes,No,Yes
Varanus rudicollis,No,Yes
Varanus salvadorii,No,Yes
Varanus salvator,Yes,Yes
Xenopus laevis,No,Yes
Zamenis scalaris,Yes,No
