,species,inat_number_of_obs,eddmaps_number_of_obs,highlight_species
1,Agama picticauda,4717,5406,Other species
2,Ameiva ameiva,552,467,Other species
3,Ameiva praesignis,56,34,Other species
4,Anolis allisoni,66,38,Other species
5,Anolis cristatellus,3037,15,Other species
6,Anolis distichus,2004,47,Other species
7,Anolis equestris,2102,1887,Other species
8,Anolis sagrei,42579,4516,Other species
9,Aspidoscelis motaguae,37,8,Other species
10,Basiliscus plumifrons,4,6,Other species
11,Basiliscus vittatus,2391,2748,Other species
12,Boa constrictor,7,448,Other species
13,Bombina orientalis,1,2,Other species
14,Caiman crocodilus,6,19,Other species
15,Centrochelys sulcata,17,246,Other species
16,Chalcides ocellatus,1,2,Other species
17,Chamaeleo calyptratus,89,260,Other species
18,Chelonoidis carbonarius,20,49,Other species
19,Chelonoidis denticulatus,1,1,Other species
20,Cnemidophorus lemniscatus,75,42,Other species
21,Corallus hortulana,1,2,Other species
22,Crocodylus niloticus,1,3,Other species
23,Ctenosaura pectinata,2,27,Other species
24,Ctenosaura similis,1384,2005,Other species
25,Eleutherodactylus coqui,1,4,Other species
26,Eleutherodactylus planirostris,2485,1029,Other species
27,Furcifer oustaleti,5,18,Other species
28,Furcifer pardalis,6,18,Other species
29,Gekko badenii,3,4,Other species
30,Gekko gecko,240,362,Other species
31,Gekko grossmanni,2,4,Other species
32,Hemidactylus frenatus,87,20,Other species
33,Hemidactylus garnotii,182,27,Other species
34,Hemidactylus mabouia,4092,2032,Other species
35,Hemidactylus platyurus,81,2,Other species
36,Hemidactylus turcicus,735,189,Other species
37,Iguana iguana,8674,10291,Iguana iguana
38,Indotyphlops braminus,688,182,Other species
39,Leiocephalus carinatus,6246,802,Leiocephalus carinatus
40,Leiocephalus schreibersii,13,1,Other species
41,Leiolepis belliana,13,3,Other species
42,Leiolepis rubritaeniata,4,12,Other species
43,Lygodactylus picturatus,1,1,Other species
44,Mauremys sinensis,1,1,Other species
45,Osteopilus septentrionalis,10214,1920,Other species
46,Phelsuma grandis,89,6,Other species
47,Pogona vitticeps,3,33,Other species
48,Python bivittatus,266,10018,Other species
49,Python regius,5,546,Other species
50,Ranoidea caerulea,1,1,Other species
51,Rhinella horribilis,3,1,Other species
52,Rhinella marina,1990,1419,Other species
53,Salvator merianae,84,9101,Other species
54,Sphaerodactylus elegans,73,1,Other species
55,Tarentola annularis,11,5,Other species
56,Testudo hermanni,2,2,Other species
57,Testudo horsfieldii,5,4,Other species
58,Trachemys venusta,8,1,Other species
59,Trachylepis quinquetaeniata,6,5,Other species
60,Typhlonectes natans,12,61,Other species
61,Varanus niloticus,2,1161,Other species
62,Varanus salvator,1,77,Other species
63,Varanus exanthematicus,7,101,Other species
64,Rhinoclemmys pulcherrima,3,1,Other species
65,Phelsuma laticauda,7,2,Other species
66,Manouria emys,1,3,Other species
67,Lepidodactylus lugubris,14,4,Other species
68,Eublepharis macularius,3,9,Other species
69,Epicrates cenchria,1,12,Other species
70,Crocodylus moreletii,1,2,Other species
