,species,inat_number_of_obs,eddmaps_number_of_obs,
1,Agama picticauda,4717,5406,
2,Ameiva ameiva,552,467,
3,Ameiva praesignis,56,34,
4,Anolis allisoni,66,38,
5,Anolis chlorocyanus,71,NA,
6,Anolis cristatellus,3037,15,
7,Anolis cybotes,31,NA,
8,Anolis distichus,2004,47,
9,Anolis equestris,2102,1887,
10,Anolis garmani,3,NA,
11,Anolis sagrei,42579,4516,
12,Aspidoscelis motaguae,37,8,
13,Basiliscus plumifrons,4,6,
14,Basiliscus vittatus,2391,2748,
15,Boa constrictor,7,448,
16,Boa imperator,2,NA,
17,Bombina orientalis,1,2,
18,Caiman crocodilus,6,19,
19,Centrochelys sulcata,17,246,
20,Chalcides ocellatus,1,2,
21,Chamaeleo calyptratus,89,260,
22,Chelonoidis carbonarius,20,49,
23,Chelonoidis denticulatus,1,1,
24,Chrysemys picta,3,NA,
25,Cnemidophorus lemniscatus,75,42,
26,Corallus hortulana,1,2,
27,Crocodylus niloticus,1,3,
28,Ctenosaura pectinata,2,27,
29,Ctenosaura similis,1384,2005,
30,Eleutherodactylus coqui,1,4,
31,Eleutherodactylus planirostris,2485,1029,
32,Emydura subglobosa,11,NA,
33,Eutropis multifasciata,9,NA,
34,Furcifer oustaleti,5,18,
35,Furcifer pardalis,6,18,
36,Gekko badenii,3,4,
37,Gekko gecko,240,362,
38,Gekko grossmanni,2,4,
39,Gerrhosaurus flavigularis,1,NA,
40,Graptemys oculifera,1,NA,
41,Graptemys ouachitensis,8,NA,
42,Graptemys pseudogeographica,35,NA,
43,Hemidactylus frenatus,87,20,
44,Hemidactylus garnotii,182,27,
45,Hemidactylus mabouia,4092,2032,
46,Hemidactylus parvimaculatus,1,NA,
47,Hemidactylus platyurus,81,2,
48,Hemidactylus turcicus,735,189,
49,Iguana iguana,8674,10291,
50,Indotestudo elongata,1,NA,
51,Indotyphlops braminus,688,182,
52,Kaloula pulchra,2,NA,
53,Lacerta viridis,1,NA,
54,Lampropeltis splendida,1,NA,
55,Leiocephalus carinatus,6246,802,
56,Leiocephalus schreibersii,13,1,
57,Leiolepis belliana,13,3,
58,Leiolepis rubritaeniata,4,12,
59,Lepidodactylus lugubris,9,NA,
60,Lygodactylus picturatus,1,1,
61,Mauremys sinensis,1,1,
62,Osteopilus septentrionalis,10214,1920,
63,Phelsuma grandis,89,6,
64,Phrynosoma cornutum,1,NA,
65,Pogona vitticeps,3,33,
66,Python bivittatus,266,10018,
67,Python regius,5,546,
68,Ranoidea caerulea,1,1,
69,Rhinella horribilis,3,1,
70,Rhinella marina,1990,1419,
71,Rhinoclemmys funerea,1,NA,
72,Rhinoclemmys pulcherrima,1,NA,
73,Salvator merianae,84,9101,
74,Sphaerodactylus elegans,73,1,
75,Tarentola annularis,11,5,
76,Terrapene ornata,3,NA,
77,Testudo hermanni,2,2,
78,Testudo horsfieldii,5,4,
79,Trachemys venusta,8,1,
80,Trachylepis quinquetaeniata,6,5,
81,Typhlonectes natans,12,61,
82,Uta stansburiana,1,NA,
83,Varanus niloticus,2,1161,
84,Varanus salvator,1,77,
85,Zamenis scalaris,1,NA,
86,Varanus niloticus,2,1161,Other species
87,Varanus salvator,1,77,Other species
88,Varanus exanthematicus,7,101,Other species
89,Rhinoclemmys pulcherrima,3,1,Other species
90,Phelsuma laticauda,7,2,Other species
91,Manouria emys,1,3,Other species
92,Lepidodactylus lugubris,14,4,Other species
93,Eublepharis macularius,3,9,Other species
94,Epicrates cenchria,1,12,Other species
95,Crocodylus moreletii,1,2,Other species
