Species,iNaturalist_Present,EDDMapS_Present
Acrochordus javanicus,No,Yes
Afrixalus fornasini,No,Yes
Agama picticauda,Yes,Yes
Ahaetulla nasuta,No,Yes
Aldabrachelys gigantea,No,Yes
Ameiva ameiva,Yes,Yes
Ameiva praesignis,Yes,Yes
Anolis allisoni,Yes,Yes
Anolis chlorocyanus,Yes,No
Anolis cristatellus,Yes,Yes
Anolis cybotes,Yes,Yes
Anolis distichus,Yes,Yes
Anolis equestris,Yes,Yes
Anolis garmani,Yes,Yes
Anolis porcatus,No,Yes
Anolis sagrei,Yes,Yes
Antaresia maculosa,No,Yes
Aspidoscelis motaguae,Yes,Yes
Basiliscus plumifrons,Yes,Yes
Basiliscus vittatus,Yes,Yes
Boa constrictor,Yes,Yes
Boa dumerili,No,Yes
Boa imperator,Yes,No
Bombina orientalis,Yes,Yes
Borikenophis portoricensis,No,Yes
Caiman crocodilus,Yes,Yes
Calabaria reinhardtii,No,Yes
Calotes versicolor,No,Yes
Centrochelys sulcata,Yes,Yes
Chalcides ocellatus,Yes,Yes
Chamaeleo calyptratus,Yes,Yes
Chelonoidis carbonarius,Yes,Yes
Chelonoidis denticulatus,Yes,Yes
Chilabothrus inornatus,No,Yes
Chilabothrus strigilatus,No,Yes
Chlamydosaurus kingii,No,Yes
Chondrodactylus bibronii,No,Yes
Chondrodactylus turneri,No,Yes
Chrysemys picta,Yes,No
Chrysopelea ornata,No,Yes
Cnemidophorus lemniscatus,Yes,Yes
Corallus hortulana,Yes,Yes
Crocodylus moreletii,Yes,Yes
Crocodylus niloticus,Yes,Yes
Ctenosaura pectinata,Yes,Yes
Ctenosaura similis,Yes,Yes
Cyclura cornuta,No,Yes
Dendrelaphis pictus,No,Yes
Dracaena guianensis,No,Yes
Duttaphrynus melanostictus,No,Yes
Eleutherodactylus coqui,Yes,Yes
Eleutherodactylus planirostris,Yes,Yes
Emydura subglobosa,Yes,No
Epicrates cenchria,Yes,Yes
Epicrates crassus,No,Yes
Erpeton tentaculatum,No,Yes
Eryx colubrinus,No,Yes
Eublepharis macularius,Yes,Yes
Eunectes murinus,No,Yes
Eunectes notaeus,No,Yes
Eutropis multifasciata,Yes,No
Furcifer lateralis,No,Yes
Furcifer oustaleti,Yes,Yes
Furcifer pardalis,Yes,Yes
Gekko badenii,Yes,Yes
Gekko gecko,Yes,Yes
Gekko grossmanni,Yes,Yes
Gekko vittatus,No,Yes
Geochelone pardalis,No,Yes
Gerrhosaurus flavigularis,Yes,No
Gongylophis colubrinus,No,Yes
Gonocephalus grandis,No,Yes
Graptemys oculifera,Yes,No
Graptemys ouachitensis,Yes,No
Graptemys pseudogeographica,Yes,No
Hemidactylus frenatus,Yes,Yes
Hemidactylus garnotii,Yes,Yes
Hemidactylus mabouia,Yes,Yes
Hemidactylus parvimaculatus,Yes,No
Hemidactylus platyurus,Yes,Yes
Hemidactylus turcicus,Yes,Yes
Hemitheconyx caudicinctus,No,Yes
Hyla savignyi,No,Yes
Hypselotriton orientalis,No,Yes
Iguana iguana,Yes,Yes
Indotestudo elongata,Yes,No
Indotyphlops braminus,Yes,Yes
Kinixys homeana,No,Yes
Lacerta viridis,Yes,No
Langaha madagascariensis,No,Yes
Laudakia stellio,No,Yes
Leiocephalus carinatus,Yes,Yes
Leiocephalus schreibersii,Yes,Yes
Leiolepis belliana,Yes,Yes
Leiolepis rubritaeniata,Yes,Yes
Lepidodactylus lugubris,Yes,Yes
Lygodactylus picturatus,Yes,Yes
Manouria emys,Yes,Yes
Mauremys sinensis,Yes,Yes
Morelia spilota,No,Yes
Orthriophis taeniurus,No,Yes
Osteopilus septentrionalis,Yes,Yes
Pachytriton labiatus,No,Yes
Pelusios castaneus,Yes,Yes
Pelusios sinuatus,No,Yes
Phelsuma grandis,Yes,Yes
Phelsuma laticauda,Yes,Yes
Phrynosoma cornutum,Yes,No
Physignathus cocincinus,No,Yes
Pogona vitticeps,Yes,Yes
Ptychozoon kuhli,No,Yes
Python bivittatus,Yes,Yes
Python breitensteini,No,Yes
Python curtus,No,Yes
Python regius,Yes,Yes
Python reticulatus,No,Yes
Python sebae,No,Yes
Ranoidea caerulea,Yes,Yes
Rhinella horribilis,Yes,Yes
Rhinella marina,Yes,Yes
Rhinoclemmys pulcherrima,Yes,Yes
Salvator merianae,Yes,Yes
Salvator rufescens,No,Yes
Sphaerodactylus elegans,Yes,Yes
Staurotypus salvinii,No,Yes
Tarentola annularis,Yes,Yes
Tarentola mauritanica,No,Yes
Terrapene ornata,Yes,No
Testudo hermanni,Yes,Yes
Testudo horsfieldii,Yes,Yes
Tiliqua scincoides,No,Yes
Trachemys script,No,Yes
Trachemys venusta,Yes,Yes
Trachylepis quinquetaeniata,Yes,Yes
Tropidurus hispidus,No,Yes
Tupinambis teguixin,No,Yes
Typhlonectes natans,Yes,Yes
Uta stansburiana,Yes,No
Varanus albigularis,No,Yes
Varanus doreanus,No,Yes
Varanus exanthematicus,Yes,Yes
Varanus indicus,No,Yes
Varanus jobiensis,No,Yes
Varanus niloticus,Yes,Yes
Varanus ornatus,No,Yes
Varanus panoptes,No,Yes
Varanus rudicollis,No,Yes
Varanus salvadorii,No,Yes
Varanus salvator,Yes,Yes
Xenopus laevis,No,Yes
Zamenis scalaris,Yes,No
